#,TICKER,Operación,Títulos,Diferencia,Justo,Rendimiento,Utilidad,Inversión,ISIN,País,Empresa
1.0,EQIX*,Compra en BMV,1.0,209.5337,18209.5337,0.011506811963566815,209.5337,18209.5337,US29444U7000,UNITED STATES,EQUINIX INC
2.0,SYK*,Compra en BMV,1.0,185.508,6043.298,0.030696490355454936,185.508,6043.298,US8636671013,UNITED STATES,STRYKER CORP
3.0,ROP*,Compra en BMV y BIVA,2.0,63.108,6133.108,0.010289729089102294,126.216,12266.216,US7766961061,UNITED STATES,ROPER TECHNOLOGIES INC
4.0,QRVO*,Compra en BIVA,1.0,75.42,1375.42,0.05483417349123653,75.42,1375.42,US74736K1016,UNITED STATES,QORVO INC
5.0,CC*,Compra en BIVA,8.0,7.6807,394.0607,0.01949110984633127,61.4454,3152.4854,US1638511089,UNITED STATES,CHEMOURS CO/THE
6.0,PRU*,Compra en BMV,2.0,28.8059,1693.8059,0.01700660054385932,57.6118,3387.6118,US7443201022,UNITED STATES,PRUDENTIAL FINANCIAL INC
7.0,USB*,Compra en BIVA,4.0,9.2967,949.2967,0.009793208373871215,37.1866,3797.1866,US9029733048,UNITED STATES,US BANCORP
8.0,CBRE*,Compra en BMV,1.0,33.4649,2553.4649,0.013105697860100575,33.4649,2553.4649,US12504L1098,UNITED STATES,CBRE GROUP INC - A
9.0,MCHP*,Compra en BMV,1.0,24.8559,1262.8559,0.019682277600829693,24.8559,1262.8559,US5950171042,UNITED STATES,MICROCHIP TECHNOLOGY INC
10.0,ORLY*,Compra en BMV,3.0,7.2692,1617.2692,0.004494712556071884,21.8075,4851.8075,US67103H1077,UNITED STATES,O'REILLY AUTOMOTIVE INC
11.0,LEVI*,Compra en BIVA,3.0,6.1302,391.1302,0.015673092199319213,18.3907,1173.3907,US52736R1023,UNITED STATES,LEVI STRAUSS & CO- CLASS A
